population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,76,Belgium,3,Both,25,50-69 years,411,Esophageal cancer,3,Rate,1990,2023,-0.006337852934146703,0.12261510463046917,-0.13313497276843442
1,All Population,1,Deaths,76,Belgium,3,Both,232,65-74 years,411,Esophageal cancer,3,Rate,1990,2023,0.27103062678737655,0.424960393089533,0.11410089106819506
1,All Population,1,Deaths,76,Belgium,3,Both,243,75-84 years,411,Esophageal cancer,3,Rate,1990,2023,0.11927193667595441,0.2601909158076236,-0.04104567121626644
1,All Population,1,Deaths,76,Belgium,3,Both,25,50-69 years,414,Stomach cancer,3,Rate,1990,2023,-0.6090185224058883,-0.5484668827535555,-0.6572778022697287
1,All Population,1,Deaths,76,Belgium,3,Both,232,65-74 years,414,Stomach cancer,3,Rate,1990,2023,-0.6334941948306922,-0.580584538547733,-0.676495725793726
1,All Population,1,Deaths,76,Belgium,3,Both,243,75-84 years,414,Stomach cancer,3,Rate,1990,2023,-0.6790577980909813,-0.6320162292222293,-0.7225561665205215
1,All Population,1,Deaths,76,Belgium,3,Both,25,50-69 years,417,Liver cancer,3,Rate,1990,2023,0.7910329384941172,1.0135933701547295,0.5795572107480154
1,All Population,1,Deaths,76,Belgium,3,Both,232,65-74 years,417,Liver cancer,3,Rate,1990,2023,1.0561374219030593,1.2984798921737677,0.8531476570434692
1,All Population,1,Deaths,76,Belgium,3,Both,243,75-84 years,417,Liver cancer,3,Rate,1990,2023,0.8674047568155324,1.1301503690092414,0.6169034539353141
1,All Population,1,Deaths,94,Switzerland,3,Both,25,50-69 years,471,Kidney cancer,3,Rate,1990,2023,0.018443899597375524,0.15410225927296442,-0.11509998139394795
1,All Population,1,Deaths,94,Switzerland,3,Both,232,65-74 years,471,Kidney cancer,3,Rate,1990,2023,0.38296319529315576,0.6058785134562604,0.17141932939599183
1,All Population,1,Deaths,94,Switzerland,3,Both,243,75-84 years,471,Kidney cancer,3,Rate,1990,2023,1.044931647287209,1.3937361216520014,0.7348566882868954
1,All Population,1,Deaths,94,Switzerland,3,Both,25,50-69 years,474,Bladder cancer,3,Rate,1990,2023,0.11570162441851861,0.2505965234544342,-0.033803906860376466
1,All Population,1,Deaths,94,Switzerland,3,Both,232,65-74 years,474,Bladder cancer,3,Rate,1990,2023,0.4785637153190174,0.6972939844900539,0.2779508022541126
1,All Population,1,Deaths,94,Switzerland,3,Both,243,75-84 years,474,Bladder cancer,3,Rate,1990,2023,0.5652305987520182,0.7636964320828029,0.35946486707956277
1,All Population,1,Deaths,112,Grenada,3,Both,25,50-69 years,471,Kidney cancer,3,Rate,1990,2023,0.0006228671309142306,0.25835175641004926,-0.22439610572682608
1,All Population,1,Deaths,112,Grenada,3,Both,232,65-74 years,471,Kidney cancer,3,Rate,1990,2023,0.047555669954616034,0.3807654274143935,-0.2105732000064908
1,All Population,1,Deaths,112,Grenada,3,Both,243,75-84 years,471,Kidney cancer,3,Rate,1990,2023,-0.14144544765704709,0.10300908091594291,-0.33270958461425454
1,All Population,1,Deaths,112,Grenada,3,Both,25,50-69 years,474,Bladder cancer,3,Rate,1990,2023,-0.14807671810083636,0.10086988398529154,-0.3265373810911026
1,All Population,1,Deaths,112,Grenada,3,Both,232,65-74 years,474,Bladder cancer,3,Rate,1990,2023,-0.150415984664896,0.1366533820234207,-0.3470952172392233
1,All Population,1,Deaths,112,Grenada,3,Both,243,75-84 years,474,Bladder cancer,3,Rate,1990,2023,-0.29344665703835787,-0.11111780707550414,-0.47052382013018
1,All Population,1,Deaths,112,Grenada,3,Both,25,50-69 years,487,Leukemia,3,Rate,1990,2023,-0.3023251165925204,-0.09234094912322624,-0.452556809369902
1,All Population,1,Deaths,112,Grenada,3,Both,232,65-74 years,487,Leukemia,3,Rate,1990,2023,-0.2268344774070766,-0.0017957749630776827,-0.4019712738052613
1,All Population,1,Deaths,112,Grenada,3,Both,243,75-84 years,487,Leukemia,3,Rate,1990,2023,-0.43435997936216303,-0.27377561434480224,-0.5779237331066421
1,All Population,1,Deaths,148,Morocco,3,Both,25,50-69 years,487,Leukemia,3,Rate,1990,2023,-0.33293122127413644,0.020139141748194388,-0.5514428998217836
1,All Population,1,Deaths,148,Morocco,3,Both,232,65-74 years,487,Leukemia,3,Rate,1990,2023,-0.2398805982432061,0.2297900220231834,-0.501432861763866
