population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,487,Leukemia,3,Rate,1990,2023,-0.17648548270898962,0.31043202575024265,-0.49081524627274653
1,All Population,1,Deaths,148,Morocco,3,Both,39,0-14 years,487,Leukemia,3,Rate,1990,2023,-0.45778409172970025,-0.1396586939887822,-0.6585983422249322
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,487,Leukemia,3,Rate,1990,2023,-0.28835663372843834,0.03345905946083504,-0.5131783548150443
1,All Population,1,Deaths,58,Estonia,3,Both,284,20-54 years,411,Esophageal cancer,3,Rate,1990,2023,-0.40495300827654596,-0.33197164733933743,-0.46778203116645833
1,All Population,1,Deaths,58,Estonia,3,Both,8,15-19 years,414,Stomach cancer,3,Rate,1990,2023,-0.8282103109118183,-0.7923419918342127,-0.8625357098530931
1,All Population,1,Deaths,58,Estonia,3,Both,284,20-54 years,414,Stomach cancer,3,Rate,1990,2023,-0.7093739817465216,-0.6797609727088335,-0.7348780883726398
1,All Population,1,Deaths,58,Estonia,3,Both,8,15-19 years,417,Liver cancer,3,Rate,1990,2023,-0.03389286083417642,0.1839327919724178,-0.23680996718223468
1,All Population,1,Deaths,58,Estonia,3,Both,39,0-14 years,417,Liver cancer,3,Rate,1990,2023,-0.6951192692098069,-0.6095008713146725,-0.7679255849561185
1,All Population,1,Deaths,58,Estonia,3,Both,284,20-54 years,417,Liver cancer,3,Rate,1990,2023,0.44334667812074163,0.7366719384445503,0.16633156985422404
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,414,Stomach cancer,3,Rate,1990,2023,0.13891750767579417,0.7559019997683689,-0.22468414749852295
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,417,Liver cancer,3,Rate,1990,2023,0.14953470085282913,1.0692316752803757,-0.3313317792793054
1,All Population,1,Deaths,22,Fiji,3,Both,39,0-14 years,417,Liver cancer,3,Rate,1990,2023,0.42953711839378145,1.7116746911235763,-0.19870853282227618
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,417,Liver cancer,3,Rate,1990,2023,0.8899739636470755,2.263721968154742,0.14126495753863896
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,423,Larynx cancer,3,Rate,1990,2023,0.486135149185062,1.4437483669580744,0.02485561834087023
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2023,0.014735584187024343,0.9183260772649717,-0.4674918483937266
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2023,0.6043610712223,1.4708330433858745,0.07829106302600333
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,429,Breast cancer,3,Rate,1990,2023,0.19557172234903641,0.9858043281583043,-0.36509434840473726
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,429,Breast cancer,3,Rate,1990,2023,1.0809660482929269,2.066277666577645,0.4741621961687541
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,432,Cervical cancer,3,Rate,1990,2023,-0.1041878711224908,0.5251173937513384,-0.4427930356833997
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,432,Cervical cancer,3,Rate,1990,2023,0.49452305417462594,1.5113598184516346,-0.06460259250750956
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,438,Prostate cancer,3,Rate,1990,2023,0.346947180274119,1.2704309059232608,-0.20427006696094963
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,441,Colon and rectum cancer,3,Rate,1990,2023,0.24273680029619635,1.1442894713912897,-0.2583473226970176
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,441,Colon and rectum cancer,3,Rate,1990,2023,0.7219650157713547,1.5570460819695329,0.2037487210054597
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,444,Lip and oral cavity cancer,3,Rate,1990,2023,0.06222693674283048,0.714125767451286,-0.35489848769234006
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,444,Lip and oral cavity cancer,3,Rate,1990,2023,0.5956322017828012,1.334716215165584,0.03336144048952971
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,447,Nasopharynx cancer,3,Rate,1990,2023,-0.04147603055753508,0.7064369719099752,-0.5007781680162187
1,All Population,1,Deaths,22,Fiji,3,Both,39,0-14 years,447,Nasopharynx cancer,3,Rate,1990,2023,0.20313603391275228,1.5205387100694763,-0.5093112012180732
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,447,Nasopharynx cancer,3,Rate,1990,2023,0.3798794507685177,1.0882327892497052,-0.12742841782488587
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,450,Other pharynx cancer,3,Rate,1990,2023,0.9305303143472357,2.2943149805085787,0.13538651522434478
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,456,Pancreatic cancer,3,Rate,1990,2023,0.5353790336025194,1.547597140814443,-0.02130308093096956
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,456,Pancreatic cancer,3,Rate,1990,2023,1.0857192191366853,2.1362338072392117,0.4488617694273241
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,471,Kidney cancer,3,Rate,1990,2023,0.06946564944107796,0.6795222427271317,-0.313203777135475
1,All Population,1,Deaths,22,Fiji,3,Both,39,0-14 years,471,Kidney cancer,3,Rate,1990,2023,0.5228474933997912,1.375986139508643,-0.14887069324653318
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,471,Kidney cancer,3,Rate,1990,2023,-0.027487082096993003,0.5464429638989043,-0.44241438419701057
1,All Population,1,Deaths,22,Fiji,3,Both,8,15-19 years,474,Bladder cancer,3,Rate,1990,2023,0.3993327114121489,1.2237210875475613,-0.15498910103155378
1,All Population,1,Deaths,22,Fiji,3,Both,284,20-54 years,474,Bladder cancer,3,Rate,1990,2023,0.9265396036983512,2.1061644229838787,0.2629296695226526
1,All Population,1,Deaths,113,Guyana,3,Both,8,15-19 years,487,Leukemia,3,Rate,1990,2023,0.11216615336179182,0.4900109901494641,-0.22452005925896837
1,All Population,1,Deaths,113,Guyana,3,Both,39,0-14 years,487,Leukemia,3,Rate,1990,2023,-0.21893012963315142,-0.024124737685226393,-0.3875110421077648
1,All Population,1,Deaths,113,Guyana,3,Both,284,20-54 years,487,Leukemia,3,Rate,1990,2023,0.1136489722396956,0.36864317432224514,-0.10656800188865125
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,411,Esophageal cancer,3,Rate,1990,2023,0.7976814502673367,1.8792443756944393,0.08282783870998792
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,414,Stomach cancer,3,Rate,1990,2023,-0.23580870017008143,0.35587781381313915,-0.5476011149507312
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,414,Stomach cancer,3,Rate,1990,2023,0.31822073721654043,1.1473012467415584,-0.1357743141176283
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,417,Liver cancer,3,Rate,1990,2023,0.8662457632738595,2.5791013589778404,0.023620057237146264
1,All Population,1,Deaths,148,Morocco,3,Both,39,0-14 years,417,Liver cancer,3,Rate,1990,2023,0.12472369283153546,1.2521471203154009,-0.3541085302534107
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,417,Liver cancer,3,Rate,1990,2023,1.5587630601876166,3.761439324537739,0.51892748055875
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,423,Larynx cancer,3,Rate,1990,2023,0.7358418857529594,2.1744955314337027,-0.07358212476770672
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2023,0.3628229723048645,1.6225357450687758,-0.20254739002468283
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2023,0.8431869326456966,2.2997150751603845,0.1137755378851276
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,429,Breast cancer,3,Rate,1990,2023,1.2245193639474996,2.9348915143162855,0.15202734732401663
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,429,Breast cancer,3,Rate,1990,2023,2.6667223607989667,5.0305655442604245,1.1302435998233562
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,432,Cervical cancer,3,Rate,1990,2023,0.11141186796738496,1.4292865432982649,-0.46868667574857553
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,432,Cervical cancer,3,Rate,1990,2023,0.8029858756482166,3.105507358329402,-0.014121240110528208
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,438,Prostate cancer,3,Rate,1990,2023,1.1160066611245867,2.6596349366213574,0.20923213338944996
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,441,Colon and rectum cancer,3,Rate,1990,2023,0.5431310784754436,1.4653512833903022,-0.038435622033847344
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,441,Colon and rectum cancer,3,Rate,1990,2023,1.5184779974402682,2.823050344458523,0.7158557281913205
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,444,Lip and oral cavity cancer,3,Rate,1990,2023,0.45894861507447293,1.4590584074844415,-0.2647418002831719
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,444,Lip and oral cavity cancer,3,Rate,1990,2023,1.174914023353148,2.292904443471608,0.36177864655468095
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,447,Nasopharynx cancer,3,Rate,1990,2023,-0.031199694737314862,0.6652420805362987,-0.5543258235465052
1,All Population,1,Deaths,148,Morocco,3,Both,39,0-14 years,447,Nasopharynx cancer,3,Rate,1990,2023,-0.29378828295205567,0.2942158864445339,-0.6947944632948267
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,447,Nasopharynx cancer,3,Rate,1990,2023,0.5550760363186514,1.540214115920259,-0.17451146264849052
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,450,Other pharynx cancer,3,Rate,1990,2023,1.1194732375861252,2.3650937343334406,0.2622203783756351
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,456,Pancreatic cancer,3,Rate,1990,2023,1.2138817522578325,2.9984318040917923,0.3052438444514775
1,All Population,1,Deaths,148,Morocco,3,Both,284,20-54 years,456,Pancreatic cancer,3,Rate,1990,2023,2.1830860477613223,3.9299410465910753,1.0687666147080814
1,All Population,1,Deaths,148,Morocco,3,Both,8,15-19 years,471,Kidney cancer,3,Rate,1990,2023,0.15574839186569667,0.9314800192612016,-0.33911486763513254
